	Set.01	Set.02	Set.03	Set.04	Set.05	Set.06	Set.07	Set.08	Set.09.Distal	Set.09.Proximal	Set.10
DHTKD1	0	0	0	0	0	0	0	0	0	0	0
DHX30	0	0	0	0	0	0	0	0	0	0	0
DHX32	0	0	0	1	0	0	0	0	0	0	0
DHX9	0	0	0	0	0	0	0	0	0	0	0
DIABLO	0	1	0	0	0	0	0	0	0	0	0
DIDO1	0	0	0	1	0	0	0	0	0	0	0
DIS3	0	0	0	0	0	0	0	0	0	0	0
DISP1	0	0	0	0	0	0	0	0	0	0	0
DKK2	0	0	0	1	0	0	0	0	0	0	0
DLG4	0	0	0	1	0	0	0	0	0	0	0
DLGAP2	0	1	0	0	0	0	0	0	0	0	0
DLGAP3	1	0	0	0	0	0	0	0	0	0	0
DLGAP4	0	0	0	0	0	0	0	0	0	0	0
DLK1	0	0	0	0	0	1	0	0	0	0	0
DLL1	0	0	0	0	0	0	0	0	0	0	1
DLX5	0	0	0	1	0	0	0	0	0	0	0
DMP1	0	0	0	1	0	0	0	0	0	0	0
DMRTC2	0	0	0	0	0	0	0	0	0	0	0
DMTF1	0	0	0	0	0	0	0	0	0	0	0
DMXL1	0	0	0	0	0	0	0	0	0	0	0
DNAAF1	0	0	0	0	0	0	0	0	0	0	0
DNAH1	0	0	0	0	0	0	0	0	0	0	0
DNAH10	0	0	0	0	0	0	0	0	0	0	0
DNAH14	0	0	0	0	0	0	0	0	0	0	0
DNAH17	0	0	0	0	0	0	0	0	0	0	0
DNAH5	0	0	1	0	0	0	0	0	1	0	0
DNAH6	0	0	0	0	1	0	0	0	1	0	0
DNAH7	0	0	0	0	0	0	0	0	0	0	0
DNAH8	0	0	1	0	0	0	0	0	0	0	0
DNAH9	0	0	0	0	0	0	0	0	0	0	0
DNAJB5	0	0	0	0	0	0	0	0	0	0	0
DNAJC13	0	0	0	1	0	0	0	0	0	0	0
DNAJC14	0	0	0	0	0	0	0	0	0	0	0
DNAJC6	0	0	0	0	1	0	0	0	0	0	0
DNER	0	0	0	1	0	0	0	0	0	0	0
DNMBP	0	0	0	0	0	0	0	0	0	0	0
DNMT3A	0	0	0	0	0	0	1	0	0	0	0
DOCK2	0	0	1	0	0	0	0	0	0	0	0
DOCK3	0	0	0	0	0	0	0	0	0	0	0
DOCK4	0	0	1	0	0	0	0	0	0	0	0
DOCK5	0	0	0	0	0	0	0	0	0	0	0
DOK6	0	0	0	0	0	0	0	0	0	0	0
DOPEY2	0	0	0	1	0	0	0	0	0	0	0
DPEP3	0	1	0	1	0	0	0	0	0	0	0
DPP10	0	0	0	0	0	0	0	0	0	0	0
DPP6	0	0	0	0	0	0	0	0	0	0	0
DPP9	0	0	0	0	0	0	0	0	0	0	1
DPY19L3	0	0	0	1	0	0	0	0	0	0	0
DPYD	1	0	0	0	0	0	0	0	0	0	0
DPYS	0	0	1	0	0	0	0	0	0	0	1
DRAM1	0	0	0	0	0	0	0	0	0	0	0
DRAP1	0	0	0	0	0	0	0	0	1	0	0
DRD5	0	0	0	1	0	0	0	0	0	0	0
DROSHA	0	0	0	0	0	0	0	0	0	0	0
DSCAM	0	0	0	1	0	0	0	0	0	0	0
DSCAML1	0	0	0	1	0	0	0	0	0	0	0
DSCR3	0	0	0	0	0	0	0	0	0	0	0
DSE	0	0	0	0	0	0	0	0	0	0	0
DSG4	0	0	0	0	0	0	0	0	0	0	0
DSP	0	0	0	0	0	0	0	0	0	0	0
DST	0	0	0	0	1	0	0	0	0	0	0
DTHD1	0	0	1	0	0	0	0	0	0	0	0
DTWD2	0	0	1	0	0	0	0	0	0	0	0
DTX2	0	0	0	0	0	0	0	0	0	0	0
DUOX1	0	0	0	0	0	0	0	0	0	0	0
DUS1L	0	0	0	1	0	0	0	0	0	0	0
DUS3L	0	0	0	0	0	0	1	0	0	0	0
DUSP10	0	0	0	0	0	0	0	0	0	0	0
DUSP3	0	0	0	1	0	0	0	0	0	0	0
DYNC1H1	0	1	0	1	0	1	0	0	0	0	0
DYNC2H1	0	0	0	0	0	0	0	1	0	0	0
DYNLT1	0	0	0	0	0	0	0	0	0	0	0
DYRK2	0	0	0	1	0	0	0	0	0	0	0
DYSF	0	0	0	1	0	0	0	0	0	0	0
DYTN	0	0	0	0	0	0	0	0	0	0	0
E2F1	0	0	0	0	0	0	0	0	0	0	0
E2F7	0	1	0	0	0	0	0	0	0	0	0
E4F1	0	0	0	0	0	0	0	0	0	0	0
EARS2	0	0	0	0	0	0	0	0	0	0	0
EBF1	1	0	0	0	0	0	0	0	0	0	0
EBF4	0	0	0	0	0	0	0	0	0	0	0
EDDM3B	0	0	0	0	1	0	0	0	0	0	0
EDN2	0	0	0	0	0	0	0	0	0	0	0
EDRF1	0	0	0	0	0	0	0	0	0	0	0
EFCAB13	0	1	0	0	0	0	0	0	0	0	0
EFCAB5	0	0	0	0	0	0	0	0	0	0	0
EFCC1	0	0	0	0	0	0	0	0	0	0	0
EFEMP1	0	0	0	0	0	0	0	0	0	0	0
EGFLAM	0	0	0	0	0	1	0	0	0	0	0
EHBP1L1	0	0	0	0	0	0	0	0	0	0	0
EID3	0	0	0	0	0	0	0	0	0	0	1
EIF3L	0	0	0	0	0	0	0	0	0	0	0
EIF4G1	0	0	0	0	0	0	0	0	0	0	0
EIF4G2	0	1	0	0	0	0	0	0	0	0	0
EIF4G3	0	0	0	1	0	0	0	0	0	0	0
ELFN1	0	0	0	1	0	0	0	0	0	0	0
ELMO3	0	0	0	0	0	0	0	0	0	0	0
ELMSAN1	0	0	0	1	0	0	0	0	0	0	0
ELN	0	0	0	0	0	0	0	0	0	0	0
ELOVL4	0	0	0	0	0	0	0	0	0	0	0
ELTD1	0	0	0	1	0	0	0	0	0	0	0
EMC1	0	0	0	1	0	0	0	0	0	0	0
EMC4	0	0	0	0	0	0	0	0	0	0	1
EMC7	0	0	0	0	0	0	0	0	0	0	0
EMR2	0	0	0	0	0	0	0	0	1	0	0
ENOSF1	0	0	0	1	0	0	0	0	0	0	0
ENPP3	0	0	0	0	0	0	1	0	0	0	0
ENTHD2	0	0	0	1	0	0	0	0	0	0	0
EP300	0	0	0	0	0	0	0	0	0	0	0
EP400	0	0	0	1	0	0	0	0	0	0	0
EPB41L4B	0	0	0	0	0	0	0	0	0	0	0
EPHA5	0	0	0	0	0	0	0	0	0	0	0
EPHB1	0	0	0	0	0	0	0	0	0	0	0
EPHX1	0	0	0	0	0	0	0	0	1	0	0
EPPK1	0	0	0	0	0	0	0	0	0	0	0
ERBB3	0	0	0	0	0	0	0	0	0	0	0
ERC1	0	0	0	0	0	0	0	0	0	0	0
ERC2	0	0	0	0	0	0	0	0	0	0	0
ERCC2	0	0	0	0	0	0	0	0	0	0	0
ERCC5	0	0	0	0	0	0	0	0	0	0	0
ERICH3	0	0	0	0	0	0	0	0	0	0	0
ERMARD	0	0	0	0	0	0	0	0	0	0	0
ERMN	0	0	0	0	0	0	0	0	0	0	0
ESRRA	0	0	0	0	0	0	0	0	0	0	0
ETFB	0	0	0	0	0	1	0	0	0	0	0
EVA1A	0	0	0	0	1	0	0	0	0	0	0
EXO1	0	0	0	0	0	0	1	0	0	0	0
EXOC2	0	0	0	0	0	0	0	0	0	0	0
EXOC3L1	0	0	0	1	0	0	0	0	0	0	0
EXOC3L2	0	0	0	0	0	1	0	0	0	0	0
EXOSC5	0	0	0	1	0	0	0	0	0	0	0
EXTL1	0	0	0	1	0	0	0	0	0	0	0
EYA2	0	0	0	0	0	0	0	0	0	0	0
EYS	0	0	1	0	1	1	0	0	0	0	0
EZH1	0	0	0	0	0	0	0	0	0	0	0
F2	0	0	0	0	0	0	0	0	0	0	0
FAAH	0	0	0	1	0	0	0	0	0	0	0
FADS3	0	0	0	0	0	0	0	0	0	0	0
FAM110D	0	0	0	0	0	0	0	0	0	0	0
FAM114A2	0	0	0	1	0	0	0	0	0	0	0
FAM117A	0	0	0	0	0	0	0	0	0	0	1
FAM120A	0	0	0	1	0	0	0	0	0	0	0
FAM129B	0	0	0	1	0	0	0	0	0	0	0
FAM131A	0	0	0	0	0	0	0	1	0	0	0
FAM155A	0	0	1	1	0	0	0	0	0	0	0
FAM169A	0	0	0	0	0	0	0	0	0	0	0
FAM170A	0	0	0	1	0	0	0	0	0	0	0
FAM171A2	0	0	0	0	0	0	0	0	0	0	0
FAM173A	0	0	0	0	0	0	0	0	0	0	0
FAM181A	0	0	0	1	0	0	0	0	0	0	0
FAM189B	0	0	0	1	0	0	0	0	0	0	0
FAM193A	0	0	0	0	0	0	0	0	0	0	0
FAM200A	0	0	0	0	0	0	0	0	0	0	0
FAM205A	0	0	0	0	0	1	0	0	0	0	0
FAM208B	1	0	0	0	0	1	0	0	0	0	0
FAM20C	0	0	0	0	0	0	0	0	0	0	0
FAM212B	0	0	0	1	0	0	0	0	0	0	0
FAM214A	0	0	0	1	0	0	0	0	0	0	0
FAM53C	0	0	0	1	0	0	0	0	0	0	0
FAM65A	0	0	0	0	0	0	0	0	0	0	0
FAM65C	0	0	0	0	0	0	1	0	0	0	0
FAM78A	0	0	0	0	0	0	0	0	0	0	0
FAM78B	0	0	0	1	0	0	0	0	0	0	0
FAM83C	0	0	0	0	0	0	0	0	0	0	0
FAM84A	0	0	0	1	0	0	0	0	0	0	0
FAM89A	0	0	0	1	0	0	0	0	0	0	0
FAM8A1	0	0	0	0	0	0	0	0	0	0	0
FAM90A1	0	0	0	0	0	0	0	0	0	0	0
FAM91A1	0	0	0	1	0	0	0	0	0	0	0
FAM96B	0	0	0	0	0	0	0	0	0	0	0
FANCG	0	0	0	1	0	0	0	0	0	0	0
FASN	0	0	0	0	0	0	0	0	0	0	0
FAT1	0	0	0	1	0	0	0	0	0	0	0
FAT2	0	0	0	1	1	0	0	0	0	0	0
FAT3	0	1	0	0	0	0	0	0	0	0	1
FAT4	0	0	0	1	0	0	0	0	0	0	0
FBF1	0	0	0	1	0	0	0	0	0	0	0
FBL	0	1	0	0	0	0	0	0	0	0	0
FBLN5	0	0	0	1	0	0	0	0	0	0	0
FBN3	0	0	0	1	0	0	0	0	0	0	0
FBXO15	0	0	0	0	0	1	0	0	0	0	0
FBXO21	0	0	0	0	0	0	0	0	0	0	0
FBXO24	0	0	0	0	0	0	0	0	0	0	0
FBXO28	0	0	0	1	0	0	0	0	0	0	0
FBXO38	0	0	0	1	0	0	0	0	0	0	0
FBXO42	0	0	0	0	0	0	0	0	0	0	0
FBXO7	0	0	1	0	0	0	0	0	0	0	0
FCER1A	0	0	0	1	0	0	0	0	0	0	0
FCGBP	0	0	0	0	0	0	0	0	0	0	0
FCN3	0	0	0	1	0	0	0	0	0	0	0
FEM1A	0	0	0	1	0	0	0	0	0	0	0
FER1L5	0	0	0	1	0	0	0	0	0	0	0
FERD3L	0	0	0	0	0	0	0	0	0	0	0
FFAR1	0	0	0	0	0	0	0	0	0	0	0
FGF14	0	0	0	0	0	0	0	0	0	0	0
FGFR1	0	0	0	0	0	0	0	0	0	0	0
FGFR3	0	1	0	0	0	0	0	0	0	0	0
FGFRL1	0	0	0	1	0	0	0	0	0	0	0
FIBIN	0	0	0	1	0	0	0	0	0	0	0
FIGN	0	1	0	0	0	0	0	0	0	0	0
FIGNL1	0	0	0	0	0	0	1	0	0	0	0
FLAD1	0	0	0	1	0	0	0	0	0	0	0
FLG	0	0	1	0	0	0	0	0	0	0	0
FLI1	0	0	0	0	0	0	0	0	0	0	0
FLNB	0	0	0	0	0	0	0	0	0	0	0
FLRT1	0	0	0	0	0	0	0	0	0	0	0
FLRT2	0	0	0	0	0	0	0	0	0	0	1
FLT1	0	1	0	0	0	0	0	0	0	0	0
FN3KRP	0	0	0	0	0	0	0	0	0	0	1
FNDC1	0	0	0	0	0	0	0	0	0	0	0
FNDC7	0	0	0	1	0	0	0	0	0	0	0
FOXO1	1	0	0	0	0	0	0	0	0	0	0
FOXP1	0	0	0	0	0	0	0	0	0	0	0
FOXP2	0	0	0	0	0	0	0	0	0	0	0
FPR1	0	0	0	0	0	0	1	0	0	0	0
FPR3	0	0	0	0	0	1	0	0	0	0	0
FRAS1	0	0	0	0	0	0	0	0	0	0	0
FREM1	0	0	0	1	0	0	0	0	1	0	0
FREM2	1	0	0	1	0	0	0	0	0	0	0
FREM3	0	0	1	0	0	0	0	0	0	0	0
FRMD6	0	0	0	1	0	0	0	0	0	0	0
FRY	0	0	0	1	0	0	0	0	0	0	0
FRYL	0	0	0	0	0	0	0	0	0	0	0
FSIP2	0	0	1	1	0	0	0	0	0	0	0
FUS	0	0	0	1	0	0	0	0	0	0	0
FUT5	0	0	0	1	0	0	0	0	0	0	0
FXYD5	0	0	0	0	0	0	0	0	0	0	0
FYB	0	0	0	0	0	0	0	0	1	0	0
FZD9	0	0	0	0	0	0	0	0	0	0	0
GAA	0	0	0	1	0	0	0	0	0	0	0
GAB1	0	0	0	0	0	0	0	0	0	0	0
GABRA2	0	0	0	0	0	0	0	0	0	0	0
GAD1	0	0	0	1	0	0	0	0	0	0	0
GAK	0	0	1	0	0	0	0	0	0	0	0
GALK1	0	0	0	0	0	0	0	0	0	0	0
GALK2	0	0	0	0	0	0	0	0	0	0	0
GALNT14	0	0	1	0	0	0	0	0	0	0	0
GALNTL6	0	0	0	1	0	0	0	0	0	0	0
GALR2	0	0	0	0	0	0	0	0	0	0	0
GARS	0	0	0	0	0	0	0	0	1	0	0
GATA2	0	0	0	1	0	0	0	0	0	0	0
GBP5	0	0	0	0	0	0	0	0	0	0	0
GBX1	0	0	0	0	0	0	0	0	0	0	0
GCAT	0	0	0	1	0	0	0	0	0	0	0
GCC1	0	0	0	0	0	0	0	0	0	0	0
GCNT2	0	0	0	0	0	0	0	0	0	0	0
GHDC	0	0	0	0	0	0	0	0	0	0	0
GHRHR	0	0	0	0	1	0	0	0	0	0	0
GIMAP6	0	0	0	0	0	0	0	0	0	0	0
GINS3	0	0	0	0	0	0	0	0	0	0	0
GIPC1	0	0	1	0	0	0	0	0	0	0	0
GIT1	0	0	0	1	0	0	0	0	0	0	0
GJD2	0	1	0	0	0	0	0	0	0	0	0
GLB1L3	0	0	0	0	0	0	0	0	0	0	0
GLDC	0	0	0	1	0	0	0	0	0	0	0
GLG1	0	0	0	1	0	0	0	0	0	0	0
GLI2	0	0	0	1	0	0	0	0	0	0	0
GLI3	0	0	1	0	0	0	0	0	0	0	0
GLRA1	0	0	0	0	0	0	0	0	0	0	0
GLRX2	0	0	0	0	0	0	0	0	0	0	0
GLYCTK	0	0	0	0	0	0	0	0	0	0	0
GML	0	0	0	0	0	0	0	0	0	0	0
GNA12	0	0	0	0	0	0	1	0	0	0	0
GNAS	0	0	0	1	0	0	0	0	0	0	0
GNRHR	0	1	0	0	0	0	0	0	0	0	0
GOLGB1	0	0	0	0	0	0	0	0	0	0	0
GON4L	0	0	0	1	0	0	0	0	0	0	0
GP5	0	0	0	0	0	0	0	0	0	0	0
GP6	0	0	0	0	0	0	0	0	0	0	0
GP9	0	0	0	0	0	0	0	0	0	0	0
GPBP1	0	0	0	1	0	0	0	0	0	0	0
GPC2	0	0	0	0	0	0	1	0	0	0	0
GPC5	0	0	0	1	0	0	0	0	0	0	0
GPHN	0	0	0	0	0	0	0	0	0	0	0
GPM6A	0	1	0	0	0	0	0	0	0	0	0
GPR107	0	0	0	0	0	0	0	0	0	0	0
GPR111	0	0	0	0	0	0	0	0	0	0	0
GPR113	0	0	0	0	0	0	0	0	0	0	0
GPR116	0	0	0	0	0	0	1	0	0	0	0
GPR126	0	0	0	0	0	0	0	0	0	0	0
GPR133	0	0	0	0	0	0	0	0	0	0	0
GPR139	0	0	0	0	0	0	0	0	0	0	0
GPR158	0	0	0	0	0	0	0	0	0	0	0
GPR25	0	0	0	1	0	0	0	0	0	0	0
GPR26	0	0	1	0	0	0	0	0	0	0	0
GPR39	0	0	0	0	0	0	0	0	1	0	0
GPR55	0	0	0	0	0	0	0	0	0	0	0
GPR6	0	0	0	0	0	0	0	0	0	0	0
GPR62	0	0	0	0	0	0	0	0	0	0	0
GPR87	0	0	0	0	0	0	0	0	1	0	0
GPR98	0	0	1	1	0	0	0	0	0	0	0
GRAMD4	0	0	0	0	0	0	0	0	0	0	0
GREB1	0	0	0	1	0	0	0	0	0	0	1
GREB1L	0	0	0	1	0	0	0	0	0	0	0
GRIA1	0	0	0	0	0	1	0	0	0	0	0
GRID2	0	0	0	0	0	0	0	0	0	0	0
GRID2IP	0	0	0	0	0	0	0	0	0	0	1
GRIK2	0	0	0	0	0	1	0	0	0	0	0
GRIK3	0	0	0	0	0	0	0	0	0	0	0
GRIK4	0	0	0	0	0	0	0	0	0	0	0
GRINA	0	0	0	0	0	0	0	0	0	0	0
GRIP1	0	0	0	0	0	0	0	0	0	0	1
GRM1	0	0	1	0	0	0	0	0	0	0	0
GRM2	0	0	0	0	0	0	0	0	0	0	0
GRM3	0	1	0	0	0	0	0	0	0	0	0
GRM5	0	0	0	0	0	0	0	0	0	0	0
GRM7	0	0	0	0	0	0	0	0	1	0	0
GRN	0	0	0	1	0	0	0	0	0	0	0
GRTP1	0	0	0	0	1	0	0	0	0	0	0
GSDMA	0	0	0	0	0	0	0	0	0	0	0
GSDMC	0	0	0	1	0	0	0	0	0	0	0
GSN	0	0	0	0	0	0	0	0	0	0	0
GSTM2	0	0	0	0	0	0	0	0	1	0	0
GTF3C1	0	0	0	1	0	0	0	0	0	0	1
GUCA1B	0	0	0	1	0	0	0	0	0	0	0
GUCA2B	0	1	0	0	0	0	0	0	0	0	0
GUCY1B3	0	0	0	0	0	0	0	0	0	0	0
GYPC	0	0	0	0	0	0	0	0	0	0	0
GZMK	0	0	0	0	0	0	0	0	0	0	0
H1FOO	0	0	0	1	0	0	0	0	0	0	0
H3F3C	0	0	0	0	0	0	0	0	0	0	0
H6PD	0	0	0	1	0	0	0	0	0	0	0
HADHA	0	0	0	0	0	0	0	0	0	0	0
HAL	0	0	0	0	0	0	0	0	0	0	1
HAPLN4	0	0	0	1	0	0	0	0	0	0	0
HAUS6	0	0	0	0	0	0	0	0	0	0	0
HCN3	0	0	0	0	0	0	0	0	0	0	0
HCN4	0	0	0	0	1	0	0	0	0	0	0
HDAC9	0	0	0	0	0	0	0	0	0	0	0
HEATR5A	0	0	0	0	0	0	0	0	0	0	0
HEATR5B	0	0	0	0	0	0	0	0	0	0	0
HECTD4	0	0	0	0	0	0	0	0	0	0	0
HECW1	0	0	0	0	0	0	0	0	0	0	0
HEG1	0	0	0	1	0	0	0	0	0	0	0
HELB	0	0	0	0	0	0	0	0	0	0	0
HEPHL1	0	0	0	1	0	0	0	0	0	0	0
HERC1	0	0	0	1	0	0	0	0	0	0	0
HERC2	0	0	0	0	0	0	0	0	0	0	0
HEXDC	0	0	0	0	0	0	0	0	0	0	0
HEY1	0	0	0	1	0	0	0	0	0	0	0
HFM1	0	0	0	1	0	0	0	0	0	0	1
HIC2	0	0	0	0	0	0	0	0	0	0	0
HINT1	0	0	0	0	0	0	0	0	0	0	1
HIP1	0	0	0	0	0	0	0	0	0	0	0
HIST1H1E	0	0	0	0	0	0	0	0	0	0	0
HIST1H2AG	0	0	0	0	0	0	0	0	0	0	0
HIVEP2	0	0	0	1	0	0	0	0	0	0	0
HK3	0	0	0	0	0	0	0	0	0	0	0
HKDC1	0	0	0	1	0	0	0	0	0	0	0
HLA-B	0	0	0	0	0	0	0	0	0	0	0
HLA-C	0	0	0	0	0	0	0	0	0	0	0
HLA-DQB2	0	0	0	0	0	0	0	0	0	0	0
HMCN1	0	0	0	1	0	0	0	0	0	0	0
HMGCS2	0	0	0	1	0	0	0	0	0	0	0
HNF4G	0	0	0	0	0	0	0	0	0	0	0
HNRNPA1	0	0	0	0	0	0	0	0	0	0	0
HNRNPA1L2	0	0	0	0	0	1	0	0	0	0	0
HNRNPF	0	0	0	0	0	0	0	0	0	0	0
HOMEZ	0	0	0	0	0	0	0	0	0	0	0
HOXA1	0	0	0	0	0	0	0	0	1	0	0
HOXA3	0	0	1	0	0	0	0	0	0	0	0
HPS3	0	0	0	0	0	0	0	0	0	0	0
HPS5	0	0	0	0	0	0	0	0	0	0	0
HRH2	0	0	0	0	0	0	0	0	0	0	0
HRSP12	0	0	0	1	0	0	0	0	0	0	0
HSD11B1L	0	0	0	1	0	0	0	0	0	0	0
HSH2D	0	0	0	1	0	0	0	0	0	0	0
HSPA12A	0	0	1	0	0	0	0	0	0	0	0
HSPA2	0	0	0	0	0	0	0	0	0	0	1
HSPA6	0	0	0	0	0	0	0	0	0	0	0
HSPA8	0	0	1	0	0	0	0	0	0	0	0
HTRA3	0	0	0	0	1	0	0	0	0	0	0
HTT	0	0	0	1	0	0	0	0	0	0	0
HYAL4	0	0	0	0	0	0	0	0	0	0	0
HYDIN	0	0	0	0	0	0	0	0	0	0	0
HYOU1	0	0	0	1	0	0	0	0	0	0	0
ICE2	0	0	0	0	0	0	0	0	0	0	0
IDE	0	0	0	0	0	0	0	0	0	0	0
IDH1	0	0	0	0	0	0	0	0	0	0	0
IDH3B	0	0	0	0	0	0	0	0	0	0	0
IDO1	0	0	0	0	0	0	0	0	0	0	0
IFI44	0	0	0	0	0	0	0	0	0	0	0
IFI6	0	0	0	0	0	0	0	0	0	0	0
IFNGR2	0	0	0	0	0	0	0	0	0	0	0
IFT74	0	0	0	0	0	0	0	0	0	0	0
IFT88	0	0	1	0	0	0	0	0	1	0	0
IGF2R	0	0	0	1	0	0	0	0	0	0	0
IGFN1	0	0	0	1	0	0	0	0	0	0	0
IGSF21	0	0	1	0	0	0	0	0	0	0	0
IGSF9	0	0	0	1	0	0	0	0	0	0	0
IKZF1	0	0	0	0	0	0	0	0	0	0	1
IL17F	0	0	0	0	0	0	0	0	0	0	0
IL17RA	0	0	0	1	0	0	0	0	0	0	0
IL20RA	0	0	0	0	0	0	0	0	0	0	0
IL36G	0	0	0	0	0	0	0	0	0	0	0
IL37	0	0	0	0	0	0	0	0	0	0	0
IL4R	0	0	0	0	0	0	0	0	0	0	0
ILDR1	0	0	0	0	0	0	0	0	0	0	0
ILDR2	0	0	0	0	0	0	0	0	0	0	0
IMPG1	0	0	1	0	0	0	0	0	0	0	0
INADL	0	0	0	0	0	0	0	0	0	0	0
INCENP	0	0	0	0	0	0	0	0	0	0	0
ING1	0	0	0	0	0	0	0	0	0	0	0
INHBA	0	0	0	0	0	0	0	0	0	0	0
INPP1	0	0	0	0	0	0	0	0	0	0	0
INPPL1	0	0	0	0	0	0	0	0	0	0	0
INSRR	0	0	0	1	0	0	0	0	0	0	0
INTS3	0	0	0	0	0	0	0	0	0	0	0
INTS6	0	0	1	0	1	0	0	0	0	0	0
INVS	0	1	0	1	0	0	0	0	0	0	0
IP6K1	0	0	0	0	0	0	0	0	0	0	0
IQCD	0	0	0	1	0	0	0	0	0	0	0
IQGAP3	0	0	0	0	0	0	0	0	0	0	0
IRF2BP1	0	0	0	0	0	0	0	0	0	0	0
IRGQ	0	0	0	0	1	0	0	0	0	0	0
IRX3	0	0	0	1	0	0	0	0	0	0	0
IRX4	0	0	0	0	0	0	0	0	0	0	0
ISG20L2	0	0	0	0	0	0	0	0	0	0	0
ITFG3	0	0	0	1	0	0	0	0	0	0	0
ITGA11	0	0	0	0	0	0	0	0	1	0	0
ITGA9	0	0	0	0	0	0	0	0	0	0	0
ITGAD	0	0	0	1	0	0	0	0	0	0	0
ITGAX	0	0	0	0	0	0	1	0	0	0	0
ITGB4	0	0	0	0	1	0	0	0	0	0	0
ITGB6	0	0	0	0	0	0	0	0	0	0	0
ITIH3	0	0	0	1	0	0	0	0	0	0	0
ITIH5	0	0	0	0	0	0	0	0	0	0	0
ITPR1	0	0	0	0	0	0	0	0	0	0	0
ITPR2	0	0	0	0	0	0	0	0	0	0	0
ITPR3	0	0	0	1	0	0	0	0	0	0	0
IVNS1ABP	0	0	0	1	0	0	0	0	0	0	0
IZUMO1	0	0	0	0	0	0	0	0	0	0	0
JAK1	0	0	0	0	0	0	0	0	0	0	0
JAKMIP2	0	0	0	0	0	0	0	0	0	0	0
JPH1	0	0	0	1	0	0	0	0	0	0	0
KANK2	0	0	0	0	0	0	0	0	0	0	0
KANSL1L	0	0	0	0	0	0	0	0	0	0	0
KAT5	0	0	0	1	0	0	0	0	0	0	0
KAT6B	0	0	0	0	0	0	0	0	0	0	0
KCNA10	0	0	0	0	0	0	0	0	0	0	0
KCNA4	0	0	0	1	0	0	0	0	0	0	0
KCNAB1	0	0	0	0	0	0	0	0	0	0	0
KCNG4	0	0	0	0	1	0	0	0	0	0	0
KCNH3	0	0	0	1	0	0	0	0	0	0	0
KCNH6	0	0	0	1	0	0	0	0	0	0	0
KCNJ12	0	0	0	0	0	1	0	0	0	0	0
KCNJ13	0	0	0	1	0	0	0	0	0	0	0
KCNMB2	0	0	0	0	0	0	0	0	0	0	0
KCNMB4	0	0	0	0	0	0	0	0	0	0	0
KCNN4	0	0	0	1	0	0	0	0	0	0	0
KCNQ2	0	0	1	0	0	0	0	0	0	0	0
KCNS2	0	0	0	0	0	0	0	0	0	0	0
KCTD9	0	1	0	0	0	0	0	0	0	0	0
KDM4B	0	0	0	0	0	0	0	0	0	0	0
KDM5A	0	0	0	0	0	0	0	0	0	0	0
KEL	0	0	0	0	0	0	0	0	0	0	0
KERA	0	0	0	0	0	0	1	0	0	0	0
KHDRBS2	0	0	0	1	0	0	0	0	0	0	0
KHK	0	0	0	0	0	0	0	0	0	0	0
KIAA0141	0	0	0	0	0	0	0	0	0	0	0
KIAA0232	0	0	0	1	0	0	0	0	0	0	0
KIAA0355	0	0	0	1	0	0	0	0	0	0	0
KIAA0895L	0	0	0	0	0	0	0	0	0	0	0
KIAA1033	0	0	0	0	0	0	0	0	0	0	0
KIAA1109	0	0	0	1	0	0	0	0	0	0	0
KIAA1217	0	0	0	0	0	0	0	0	0	0	0
KIAA1324L	0	0	0	0	0	0	0	0	0	0	0
KIAA1328	0	0	0	0	0	0	0	0	1	0	0
KIAA1429	0	0	0	0	0	0	0	0	0	0	0
KIAA1467	0	0	0	0	0	0	0	0	0	0	0
KIAA1755	0	0	0	0	0	0	0	0	0	0	0
KIAA2026	0	0	0	1	0	0	0	0	0	0	0
KIF16B	0	0	0	0	0	0	0	0	0	0	0
KIF18B	0	0	0	0	0	0	0	0	0	0	0
KIF1A	0	0	0	1	0	0	0	0	0	0	0
KIF21A	0	1	0	0	0	0	0	0	0	0	0
KIF26B	0	0	0	0	0	0	0	0	1	0	1
KIF3B	0	0	0	1	0	0	0	0	0	0	0
KIF4B	0	0	0	0	0	0	0	0	0	0	0
KIF5A	0	0	0	0	0	0	0	0	0	0	0
KIF5C	0	0	0	0	0	0	0	0	1	0	0
KIRREL3	0	0	0	0	0	0	0	0	0	0	0
KLB	0	0	0	0	0	0	0	0	1	0	0
KLC1	0	0	0	1	0	0	0	0	0	0	0
KLC2	0	0	0	0	0	0	0	0	0	0	0
KLF10	0	0	0	1	0	0	0	0	0	0	0
KLF14	0	0	0	0	0	0	0	0	0	0	0
KLHL2	0	0	0	0	0	0	0	0	1	0	0
KLHL21	0	0	0	0	0	0	0	0	0	0	0
KLHL36	0	0	0	0	0	0	0	0	1	0	0
KLHL5	0	0	0	1	0	0	0	0	0	0	0
KLK10	0	1	0	0	0	0	0	0	0	0	0
KLK14	0	0	0	1	0	0	0	0	0	0	0
KMT2A	0	0	0	1	0	0	0	0	0	0	0
KMT2C	0	0	0	1	0	0	0	0	0	0	0
KNTC1	0	0	0	0	0	0	0	0	0	0	1
KRAS	0	0	0	0	0	1	1	0	0	0	0
KRBA2	0	0	0	0	0	0	0	0	0	0	0
KRT18	0	0	0	0	0	0	0	1	0	0	0
KRT25	0	0	0	1	0	0	0	0	0	0	0
KRT28	0	0	0	0	0	0	0	0	1	0	0
